dish_name,tag

caldo_xochitl,only_sat
caldo_tlalpeno,only_sat
caldo_menudencias,only_sat
caldo_pollo_chile_arbol,only_sat
flor_calabaza_pollo,only_sat
sopa_calabacitas_pollo,only_sat
tallarines_pollo,only_sat
pancita,only_sat
molcajete_res,monday_molcajete
molcajete_camaron,monday_molcajete
molcajete_pollo,monday_molcajete
molcajete_cochinita,monday_molcajete
molcajete_mixto,monday_molcajete
molcajete_milanesa,monday_molcajete
Chamorro,only_fri
Chamorro al Pibil,only_fri
Enchiladas Mineras,sat_enchiladas
Enchiladas Saludables,sat_enchiladas
Enchiladas Potosinas,sat_enchiladas
Enchiladas Zacatecanas,sat_enchiladas
Enchiladas Jitomatadas,sat_enchiladas
Enchiladas Colimenses,sat_enchiladas
Enchiladas Queretanas,sat_enchiladas
Enchiladas Michoacanas,sat_enchiladas
Enchiladas de Papa en Salsa Leñador,sat_enchiladas
Enchorizadas,sat_enchiladas
Enchiladas de Pollo en Chile Cascabel Gratinadas,sat_enchiladas




