name,course_group,protein,style_tag,active

Sopa de Pasta,sopa,none,sopa_pasta,1
Sopa de Cebolla,sopa,none,sopa_cebolla,1
Sopa de Papa,sopa,none,sopa_papa,1
Sopa Minestrone,sopa,none,sopa_minestrone,1
Sopa de Fideo con Frijol,sopa,none,sopa_fideo_frijol,1
Sopa de Lentejas,sopa,none,sopa_lentejas,1
Sopa de Ajo,sopa,none,sopa_ajo,1
Sopa Azteca,sopa,none,sopa_azteca,1
Sopa de Espinaca,sopa,none,sopa_espinaca,1
Sopa de Haba,sopa,none,sopa_haba,1
Sopa Alemana,sopa,none,sopa_alemana,1
Sopa de Setas,sopa,none,sopa_setas,1
Sopa de Pasta con Menudencias,sopa,pollo,sopa_pasta_menudencias,1
Sopa Lima,sopa,pollo,sopa_lima,1
Sopa de Tortilla,sopa,none,sopa_tortilla,1
Sopa Tarasca,sopa,none,sopa_tarasca,1
Sopa de Verduras,sopa,none,sopa_verduras,1
Sopa Campesina,sopa,none,sopa_campesina,1
Sopa de Champiñón con Guajillo,sopa,none,sopa_champinon_guajillo,1
Sopa de Pasta con Espinaca,sopa,none,sopa_pasta_espinaca,1
Sopa de Médula,sopa,res,sopa_medula,1
Sopa de Fideo con Espinaca,sopa,none,sopa_fideo_espinaca,1
Sopa de Colita de Res,sopa,res,sopa_colita_res,1
Sopa de Mariscos,sopa,pescado,sopa_mariscos,1
Sopa de Fideo con Guajillo,sopa,none,sopa_fideo_guajillo,1
Sopa de Calabacitas con Poblano,sopa,none,sopa_calabacitas_poblano,1
Sopa de Huitlacoche,sopa,none,sopa_huitlacoche,1
Sopa Portuguesa,sopa,none,sopa_portuguesa,1
Sopa de Papa con Chipotle,sopa,none,sopa_papa_chipotle,1
Sopa de Fideo con Higaditos,sopa,pollo,sopa_fideo_higaditos,1
Sopa de Flor de Calabaza con Nopales,sopa,none,sopa_flor_calabaza_nopales,1
Sopa de Albondiguitas,sopa,res,sopa_albondiguitas,1
Sopa Poblana,sopa,none,sopa_poblana,1
Puchero de Res,sopa,res,puchero_res,1
Sopa de Codito con Espinaca,sopa,none,sopa_codito_espinaca,1
Fabada Asturiana,sopa,cerdo,fabada_asturiana,1
Sopa de Garbanzo,sopa,none,sopa_garbanzo,1
Arroz Aguado,sopa,none,arroz_aguado,1
Sopa de Lentejas con Chorizo y Plátano,sopa,cerdo,sopa_lentejas_chorizo_platano,1
Caldo de Res,sopa,res,caldo_res,1
Chilpachole de Jaiba,sopa,pescado,chilpachole_jaiba,1
Sopa de Fideo al Ajillo,sopa,none,sopa_fideo_ajillo,1
Sopa de Chayote,sopa,none,sopa_chayote,1
Sopa de Elote con Tuétano,sopa,res,sopa_elote_tuetano,1
Sopa Negra,sopa,none,sopa_negra,1
Sopa Oriental,sopa,none,sopa_oriental,1
Sopa de Elote,sopa,none,sopa_elote,1
Sopa de Tres Chiles con Nopales,sopa,none,sopa_tres_chiles_nopales,1
Sopa Campestre,sopa,none,sopa_campestre,1
Crema de Garbanzo con Jengibre,sopa,none,crema_garbanzo_jengibre,1
Sopa de Calabacitas con Pollo,sopa,pollo,sopa_calabacitas_pollo,1
Sopa Monterrey,sopa,none,sopa_monterrey,1
Sopa de Elote y Calabacitas,sopa,none,sopa_elote_calabacitas,1
Sopa de Pasta con Chilacayote y Zanahoria,sopa,none,sopa_pasta_chilacayote_zanahoria,1
Sopa de Flor de Calabaza con Elote,sopa,none,sopa_flor_calabaza_elote,1
Sopa de Pasta con Habas,sopa,none,sopa_pasta_habas,1
